,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'beef'}),frozenset({'other vegetables'}),0.05246568378240976,0.1934926283680732,0.019725470259278087,0.37596899224806196,1.943066231613079,0.009573747205091429,1.2924155396337709,0.5122236689702779
1,frozenset({'other vegetables'}),frozenset({'beef'}),0.1934926283680732,0.05246568378240976,0.019725470259278087,0.10194429847609038,1.9430662316130791,0.009573747205091429,1.0550952625875214,0.601791776491934
2,frozenset({'beef'}),frozenset({'root vegetables'}),0.05246568378240976,0.10899847483477376,0.017386883579054397,0.3313953488372093,3.0403668431100312,0.011668204065608208,1.3326283680732078,0.7082512053284838
3,frozenset({'root vegetables'}),frozenset({'beef'}),0.10899847483477376,0.05246568378240976,0.017386883579054397,0.15951492537313433,3.0403668431100312,0.011668204065608208,1.127366023291073,0.7531887461435741
4,frozenset({'whole milk'}),frozenset({'beef'}),0.25551601423487547,0.05246568378240976,0.02125063548551093,0.08316752884998009,1.5851795469758803,0.007844813081322243,1.0334868648675366,0.49585570914945976
5,frozenset({'beef'}),frozenset({'whole milk'}),0.05246568378240976,0.25551601423487547,0.02125063548551093,0.4050387596899225,1.5851795469758803,0.007844813081322243,1.2513151031101117,0.389597113680904
6,frozenset({'bottled beer'}),frozenset({'bottled water'}),0.08052872394509406,0.11052364006100661,0.0157600406710727,0.19570707070707072,1.7707258881361918,0.006859712971192962,1.1059109530167706,0.4733805866594372
7,frozenset({'bottled water'}),frozenset({'bottled beer'}),0.11052364006100661,0.08052872394509406,0.0157600406710727,0.14259429622815087,1.7707258881361916,0.006859712971192962,1.0723876363430074,0.4893439237724383
8,frozenset({'bottled beer'}),frozenset({'other vegetables'}),0.08052872394509406,0.1934926283680732,0.016166751398068124,0.20075757575757575,1.0375463781270402,0.0005850369428048816,1.0090897919944486,0.03935703421180559
9,frozenset({'other vegetables'}),frozenset({'bottled beer'}),0.1934926283680732,0.08052872394509406,0.016166751398068124,0.08355228586442459,1.0375463781270402,0.0005850369428048816,1.0032992192273429,0.044869599139858544
10,frozenset({'bottled beer'}),frozenset({'soda'}),0.08052872394509406,0.17437722419928825,0.016980172852058974,0.21085858585858586,1.2092094413522985,0.002937797502202716,1.0462291814946618,0.18816618670212384
11,frozenset({'soda'}),frozenset({'bottled beer'}),0.17437722419928825,0.08052872394509406,0.016980172852058974,0.09737609329446065,1.2092094413522985,0.002937797502202716,1.018664882709408,0.20955502787528396
12,frozenset({'bottled beer'}),frozenset({'whole milk'}),0.08052872394509406,0.25551601423487547,0.02043721403152008,0.2537878787878788,0.9932366843926732,-0.0001391645423509287,0.9976841230558015,-0.007351302820593646
13,frozenset({'whole milk'}),frozenset({'bottled beer'}),0.25551601423487547,0.08052872394509406,0.02043721403152008,0.07998408276959808,0.9932366843926731,-0.0001391645423509287,0.9994080089645236,-0.009063529544844176
14,frozenset({'bottled water'}),frozenset({'other vegetables'}),0.11052364006100661,0.1934926283680732,0.024809354346720894,0.22447102115915363,1.1601011524436553,0.0034238447345098545,1.0399448552359483,0.15515443342553237
15,frozenset({'other vegetables'}),frozenset({'bottled water'}),0.1934926283680732,0.11052364006100661,0.024809354346720894,0.1282186022070415,1.1601011524436553,0.0034238447345098545,1.020297476168719,0.17111585774162347
16,frozenset({'rolls/buns'}),frozenset({'bottled water'}),0.18393492628368074,0.11052364006100661,0.024199288256227757,0.13156440022111662,1.1903733911450616,0.003870130669002443,1.024228348268389,0.19597390413927834
17,frozenset({'bottled water'}),frozenset({'rolls/buns'}),0.11052364006100661,0.18393492628368074,0.024199288256227757,0.21895124195032198,1.1903733911450616,0.003870130669002443,1.0448324324259588,0.17979956042773754
18,frozenset({'bottled water'}),frozenset({'root vegetables'}),0.11052364006100661,0.10899847483477376,0.015658362989323844,0.14167433302667892,1.29978271018413,0.003611454789486622,1.038069301023152,0.259299342632676
19,frozenset({'root vegetables'}),frozenset({'bottled water'}),0.10899847483477376,0.11052364006100661,0.015658362989323844,0.14365671641791045,1.29978271018413,0.003611454789486622,1.0386913484254912,0.25885548891368826
20,frozenset({'bottled water'}),frozenset({'soda'}),0.11052364006100661,0.17437722419928825,0.028978139298423997,0.2621895124195032,1.5035765916302124,0.009705333736184412,1.1190174031114386,0.3765351879928446
21,frozenset({'soda'}),frozenset({'bottled water'}),0.17437722419928825,0.11052364006100661,0.028978139298423997,0.1661807580174927,1.5035765916302124,0.009705333736184412,1.0667496204862754,0.40565638233514834
22,frozenset({'bottled water'}),frozenset({'tropical fruit'}),0.11052364006100661,0.10493136756481952,0.018505338078291814,0.16743330266789327,1.595645864087917,0.006907941378448518,1.0750713850354046,0.41967897214810795
23,frozenset({'tropical fruit'}),frozenset({'bottled water'}),0.10493136756481952,0.11052364006100661,0.018505338078291814,0.1763565891472868,1.595645864087917,0.006907941378448518,1.0799289452435779,0.4170568724697999
24,frozenset({'whole milk'}),frozenset({'bottled water'}),0.25551601423487547,0.11052364006100661,0.03436705643111337,0.13450059689614005,1.2169396232507244,0.0061264964439949506,1.027703031046754,0.23944980596694065
25,frozenset({'bottled water'}),frozenset({'whole milk'}),0.11052364006100661,0.25551601423487547,0.03436705643111337,0.31094756209751606,1.2169396232507244,0.0061264964439949506,1.0804460514375038,0.20041740732623908
26,frozenset({'bottled water'}),frozenset({'yogurt'}),0.11052364006100661,0.13950177935943062,0.022979156075241484,0.20791168353265868,1.4903873232825786,0.0075609116254498135,1.0863665108435527,0.3699181810456802
